City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nuevo Progreso,MX,23.1667,-97.95,62.8,68,99,16.26,overcast clouds
80,Esperance,AU,-33.8667,121.9,59.72,85,44,13.58,scattered clouds
81,Chkalovsk,RU,56.7647,43.2433,33.39,90,100,21.63,overcast clouds
82,Robertsport,LR,6.7533,-11.3686,83.26,70,38,11.07,scattered clouds
83,Eureka,US,40.8021,-124.1637,47.01,46,67,3.38,broken clouds
84,Lompoc,US,34.6391,-120.4579,57.92,38,1,0.0,clear sky
85,New Norfolk,AU,-42.7826,147.0587,42.3,94,2,2.01,clear sky
86,Butaritari,KI,3.0707,172.7902,81.81,73,97,21.07,overcast clouds
87,Kabansk,RU,52.0486,106.6528,12.69,82,100,14.45,light snow
88,Makat,KZ,47.6469,53.3463,27.57,63,38,9.53,scattered clouds
89,Qaanaaq,GL,77.484,-69.3632,10.27,92,100,2.86,overcast clouds
90,Kholmogory,RU,64.2229,41.656,17.71,96,100,3.62,overcast clouds
91,Charters Towers,AU,-20.1,146.2667,74.01,81,100,8.16,overcast clouds
92,Mexico,PH,15.0646,120.7198,76.82,83,93,4.25,overcast clouds
93,Yellowknife,CA,62.456,-114.3525,12.72,92,90,11.5,snow
94,Kodiak,US,57.79,-152.4072,15.31,53,1,10.36,clear sky
95,Santo Antonio Do Sudoeste,BR,-26.0736,-53.7253,84.27,37,23,9.73,few clouds
96,Port Elizabeth,ZA,-33.918,25.5701,64.69,77,20,25.32,few clouds
97,Aykhal,RU,66.0,111.5,-5.78,100,100,2.39,overcast clouds
98,Pedernales,DO,18.0384,-71.744,81.23,70,70,6.17,broken clouds
99,Nikolskoye,RU,59.7035,30.7861,30.09,86,100,5.46,overcast clouds
100,Lebu,CL,-37.6167,-73.65,59.22,67,3,14.38,clear sky
101,Mahebourg,MU,-20.4081,57.7,79.09,73,40,2.3,scattered clouds
102,Aksarayskiy,RU,46.7924,48.0119,33.75,90,95,8.41,overcast clouds
103,Manokwari,ID,-0.8667,134.0833,78.42,81,80,3.98,broken clouds
104,Chokurdakh,RU,70.6333,147.9167,-29.6,99,82,3.29,broken clouds
105,San Patricio,US,28.017,-97.5169,58.89,45,100,10.38,overcast clouds
106,Pangnirtung,CA,66.1451,-65.7125,23.0,74,75,2.3,light snow
107,Vardo,NO,70.3705,31.1107,15.55,67,0,9.22,clear sky
108,Torbay,CA,47.6666,-52.7314,48.97,100,75,10.36,broken clouds
109,Barrow,US,71.2906,-156.7887,-11.18,77,75,11.5,haze
110,Provideniya,RU,64.3833,-173.3,-3.95,80,30,8.05,scattered clouds
111,Nanyang,CN,32.9947,112.5328,48.81,46,100,8.14,overcast clouds
112,Punta Arenas,CL,-53.15,-70.9167,51.91,40,90,29.93,overcast clouds
113,Laguna,US,38.421,-121.4238,60.62,93,1,0.0,mist
114,Severo-Kurilsk,RU,50.6789,156.125,34.63,74,92,10.33,overcast clouds
115,Teguldet,RU,57.3064,88.1667,6.04,93,100,9.15,overcast clouds
116,Whyalla,AU,-33.0333,137.5833,60.69,77,90,13.8,overcast clouds
117,Zonguldak,TR,41.25,31.8333,48.92,65,89,7.45,light rain
118,Shenjiamen,CN,29.9576,122.298,58.05,64,15,12.53,few clouds
119,Avarua,CK,-21.2078,-159.775,78.85,94,75,2.3,light rain
120,Zhezkazgan,KZ,47.8043,67.7144,18.68,82,6,3.42,clear sky
121,Hobyo,SO,5.3505,48.5268,81.28,75,99,14.45,overcast clouds
122,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,65,40,19.57,light rain
123,Mutsu,JP,41.2894,141.2169,38.43,64,21,17.54,few clouds
124,Miri,MY,4.4148,114.0089,75.34,100,20,8.05,few clouds
125,Broken Hill,AU,-31.95,141.4333,59.67,78,79,14.36,broken clouds
126,Ondjiva,AO,-17.0667,15.7333,88.81,13,23,6.71,few clouds
127,Clyde River,CA,70.4692,-68.5914,-1.7,98,100,1.1,overcast clouds
128,Kanniyakumari,IN,8.0833,77.5667,79.12,83,94,11.95,overcast clouds
129,Mubi,NG,10.2676,13.2644,81.32,18,5,6.33,clear sky
130,Ossora,RU,59.2353,163.0719,-4.13,88,3,8.32,clear sky
131,Wenling,CN,28.3669,121.36,51.75,74,0,8.77,clear sky
132,Timbiqui,CO,2.7717,-77.6654,81.18,74,95,6.38,light rain
133,Cape Town,ZA,-33.9258,18.4232,63.01,82,75,11.5,light rain
134,Chimbote,PE,-9.0853,-78.5783,70.21,76,93,10.6,overcast clouds
135,Tual,ID,-5.6667,132.75,84.43,68,98,5.48,overcast clouds
136,Derzhavinsk,KZ,51.1,66.3167,12.04,97,75,13.87,broken clouds
137,Canovanas,PR,18.3777,-65.9063,84.15,51,20,12.66,few clouds
138,Svetlogorsk,BY,52.6333,29.7333,37.54,79,100,9.42,overcast clouds
139,Hamilton,US,39.1834,-84.5333,33.24,57,75,8.05,broken clouds
140,Tucurui,BR,-3.7661,-49.6725,90.66,53,84,1.63,broken clouds
141,Tautira,PF,-17.7333,-149.15,82.42,75,37,16.28,scattered clouds
142,Sanjwal,PK,33.7608,72.4336,60.94,30,80,3.89,broken clouds
143,Sydney,AU,-33.8679,151.2073,61.9,82,75,28.77,broken clouds
144,Cabo Rojo,PR,18.0866,-67.1457,82.83,59,56,9.06,broken clouds
145,Yar-Sale,RU,66.8333,70.8333,-4.59,94,82,5.48,broken clouds
146,Syracuse,IT,37.0881,15.2792,60.39,65,45,14.18,scattered clouds
147,Waipawa,NZ,-41.4122,175.5153,61.43,78,40,10.04,scattered clouds
148,Simplicio Mendes,BR,-7.8539,-41.9103,87.98,46,83,4.56,broken clouds
149,Valparaiso,CL,-33.0393,-71.6273,63.52,80,90,11.5,overcast clouds
150,Dandong,CN,40.1292,124.3947,27.39,62,2,5.75,clear sky
151,Alta Floresta,BR,-9.8756,-56.0861,89.42,62,40,5.75,scattered clouds
152,Montepuez,MZ,-13.1256,38.9997,78.42,55,86,7.92,overcast clouds
153,Talcahuano,CL,-36.7167,-73.1167,65.88,55,0,13.8,clear sky
154,Luwuk,ID,-0.9516,122.7875,78.04,85,86,3.62,overcast clouds
155,Ambon,ID,-3.6954,128.1814,81.81,78,96,4.59,overcast clouds
156,Biak,ID,-0.9131,122.8766,77.25,83,87,3.31,overcast clouds
157,Mishan,CN,45.55,131.8833,16.97,87,36,13.11,scattered clouds
158,Ust-Kut,RU,56.7938,105.7672,13.73,86,100,10.71,overcast clouds
159,Karratha,AU,-20.7377,116.8463,80.82,44,33,8.32,scattered clouds
