City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Winnemucca,US,55.45,clear sky,40.973,-117.7357,Winners Inn Casino
111,Butaritari,KI,82.38,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
113,Richards Bay,ZA,65.05,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
114,Lebu,CL,55.18,clear sky,-37.6167,-73.65,Hostal Las Lilas
115,Houston,US,57.22,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
117,Lubumbashi,CD,61.02,scattered clouds,-11.6609,27.4794,Glo Flats
119,Weligama,LK,77.49,overcast clouds,5.9667,80.4167,Weligama Bay Resort
122,Antofagasta,CL,63.68,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
124,Hede,CN,46.49,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
125,Katsuura,JP,51.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
127,Constitucion,CL,57.4,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
129,San Quintin,MX,71.85,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
130,Amarante Do Maranhao,BR,73.56,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
131,Safaga,EG,66.15,broken clouds,26.7292,33.9365,Lamar Resort Abu Soma
132,Cuenca,EC,55.53,light rain,-2.8833,-78.9833,Hotel Cuenca
133,La Seyne-Sur-Mer,FR,46.35,broken clouds,43.0982,5.8847,La Frégate
134,Mogok,MM,54.09,clear sky,22.9167,96.5,MOGOK HILL HOTEL
135,Bethel,US,41.58,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
136,Cape Town,ZA,63.01,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
139,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
140,Porto Novo,BJ,80.4,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
141,Nara,JP,49.28,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
142,Tuatapere,NZ,52.43,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
143,Kruisfontein,ZA,62.06,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
148,Nileshwar,IN,77.14,overcast clouds,12.25,75.1,Neeleshwar Hermitage
149,Sao Filipe,CV,77.65,clear sky,14.8961,-24.4956,Hotel Xaguate
150,Torbay,CA,45.37,shower rain,47.6666,-52.7314,Gallows Cove
151,Ponta Do Sol,PT,63.23,broken clouds,32.6667,-17.1,Hotel do Campo
155,Fortuna,US,58.12,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
156,Busselton,AU,68.49,broken clouds,-33.65,115.3333,Observatory Guest House
158,Alabaster,US,46.33,clear sky,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
159,Ipixuna,BR,80.55,broken clouds,-1.7625,-48.8043,Casa da Oscarina
160,Kalmunai,LK,77.4,broken clouds,7.4167,81.8167,VS Villa
164,Maturin,VE,78.53,broken clouds,9.75,-63.1767,Hotel Residencial La Pichincha
165,Guerrero Negro,MX,74.75,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
166,Musoma,TZ,70.25,overcast clouds,-1.5,33.8,New Peninsula Hotel
167,Arlit,NE,76.21,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
173,Dunedin,NZ,45.84,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
174,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
175,Ungheni,MD,50.65,clear sky,47.2042,27.7958,Apartament
176,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
179,Katherine,AU,80.92,overcast clouds,-14.4667,132.2667,Pine Tree Motel
180,Faanui,PF,81.64,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
181,Alta Floresta,BR,73.92,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
183,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
184,Redding,US,69.57,clear sky,40.5865,-122.3917,Redding Inn & Suites
185,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
